#ID	#Label	#Longitude	#Latitude
0	C0	116.7644482	-26.82472208
1	C1	116.7655399	-26.82598212
2	C2	116.7639199	-26.82400458
3	C3	116.7651234	-26.82519844
4	C4	116.7632707	-26.8251632
5	C5	116.7647362	-26.82463766
6	C6	116.7642597	-26.82325862
7	C7	116.7642824	-26.82416999
8	C8	116.76438	-26.82506289
9	C9	116.7654336	-26.82419534
10	C10	116.7631211	-26.82429413
11	C11	116.7635745	-26.82428184
12	C12	116.7658808	-26.82362068
13	C13	116.7644358	-26.8255531
14	C14	116.7647771	-26.82533563
15	C15	116.764054	-26.82459854
16	C16	116.7626123	-26.82468757
17	C17	116.7648029	-26.82399616
18	C18	116.7658352	-26.82414453
19	C19	116.7640291	-26.82512808
20	C20	116.7649085	-26.82491591
21	C21	116.76592	-26.82458807
22	C22	116.7661627	-26.82516717
23	C23	116.7651635	-26.82559726
24	C24	116.7640078	-26.82355978
25	C25	116.7654027	-26.82351788
26	C26	116.763623	-26.82333348
27	C27	116.7645438	-26.82367721
28	C28	116.7647061	-26.82617453
29	C29	116.7639855	-26.82568058
30	C30	116.7650723	-26.82371812
31	C31	116.7654382	-26.82539298
32	C32	116.7650863	-26.82320406
33	C33	116.7638584	-26.82607063
34	C34	116.7662326	-26.82416669
35	C35	116.7636826	-26.825313
36	C36	116.7631402	-26.8256788
37	C37	116.7651604	-26.82466117
38	C38	116.7633534	-26.82474063
39	C39	116.7651052	-26.82620429
40	C40	116.7626254	-26.82423371
41	C41	116.7636904	-26.82458619
42	C42	116.7663276	-26.82449107
43	C43	116.7625929	-26.82524526
44	C44	116.7649674	-26.82438176
45	C45	116.7638367	-26.82640251
46	C46	116.7628656	-26.8238663
47	C47	116.7659002	-26.82575495
48	C48	116.7628386	-26.8249453
49	C49	116.7645657	-26.82298227
50	C50	116.7662168	-26.82557408
51	C51	116.7647726	-26.82341861
52	C52	116.7642471	-26.82596996
53	C53	116.7633445	-26.8238249
54	C54	116.7655102	-26.82451286
55	C55	116.7664459	-26.8248581
56	C56	116.7629456	-26.8254135
57	C57	116.7648417	-26.82577849
58	C58	116.7635399	-26.82582645
59	C59	116.7644183	-26.82448199
60	C60	116.7656886	-26.82504806
61	C61	116.7631797	-26.82605715
62	C62	116.7634832	-26.82624136
63	C63	116.763684	-26.82495975
64	C64	116.7632454	-26.82340203
65	C65	116.7639195	-26.82303146
66	C66	116.7643659	-26.82645226
67	C67	116.762996	-26.82465271
68	C68	116.7654434	-26.82316337
69	C69	116.7655698	-26.82382532
70	C70	116.7642254	-26.82381443
71	C71	116.7658689	-26.82541509
72	C72	116.7661605	-26.82381893
73	C73	116.7648361	-26.82648871
74	C74	116.762772	-26.82568999
75	C75	116.7653454	-26.82494098
76	C76	116.7663944	-26.82617565
77	C77	116.7664468	-26.82650837
78	C78	116.7625601	-26.82260188
79	C79	116.7657815	-26.82657439
80	C80	116.7616289	-26.82384839
81	C81	116.7652462	-26.82734339
82	C82	116.7631213	-26.82666532
83	C83	116.7672825	-26.82346752
84	C84	116.7627999	-26.82644619
85	C85	116.7664591	-26.82314495
86	C86	116.7635966	-26.82688522
87	C87	116.7621415	-26.8254654
88	C88	116.764998	-26.82695038
89	C89	116.7629746	-26.82285708
90	C90	116.7615335	-26.82422313
91	C91	116.7627927	-26.82686624
92	C92	116.7617537	-26.82455842
93	C93	116.7632495	-26.82217299
94	C94	116.7672552	-26.82585337
95	C95	116.7621609	-26.82416921
96	C96	116.761874	-26.82327722
97	C97	116.7653964	-26.82272323
98	C98	116.7671022	-26.82427994
99	C99	116.7656369	-26.82703905
100	C100	116.7656085	-26.82629731
101	C101	116.763807	-26.82221824
102	C102	116.7634192	-26.82276293
103	C103	116.7668948	-26.82564607
104	C104	116.7661372	-26.82255359
105	C105	116.7640186	-26.82263542
106	C106	116.7621211	-26.82296638
107	C107	116.7668842	-26.82385968
108	C108	116.7622668	-26.82505449
109	C109	116.7658279	-26.82239906
110	C110	116.7649912	-26.82236118
111	C111	116.7626226	-26.82598492
112	C112	116.7645539	-26.82694785
113	C113	116.7633663	-26.82718924
114	C114	116.7622453	-26.82341098
115	C115	116.7616692	-26.82577828
116	C116	116.7628237	-26.82354014
117	C117	116.7660285	-26.82622295
118	C118	116.7642422	-26.82201412
119	C119	116.7667019	-26.82340513
120	C120	116.7665894	-26.82535037
121	C121	116.7621203	-26.82373723
122	C122	116.7645773	-26.82234715
123	C123	116.7662301	-26.82342668
124	C124	116.7672749	-26.82481892
125	C125	116.7624309	-26.82653613
126	C126	116.766926	-26.82617013
127	C127	116.7620173	-26.82651026
128	C128	116.7622932	-26.82623597
129	C129	116.7617214	-26.82541223
130	C130	116.7640445	-26.82718983
131	C131	116.7667126	-26.82415317
132	C132	116.7661493	-26.82672156
133	C133	116.7668224	-26.82295559
134	C134	116.7653755	-26.82224409
135	C135	116.7616432	-26.82507543
136	C136	116.7675196	-26.82533617
137	C137	116.7626337	-26.82301075
138	C138	116.7647103	-26.82190813
139	C139	116.7631223	-26.82255216
140	C140	116.7622778	-26.8258963
141	C141	116.7668197	-26.82653546
142	C142	116.7642399	-26.82680215
143	C143	116.7661542	-26.82704072
144	C144	116.7674227	-26.82443615
145	C145	116.7666547	-26.82590629
146	C146	116.7661875	-26.82288295
147	C147	116.7669636	-26.82463374
148	C148	116.7644075	-26.82266232
149	C149	116.7664854	-26.82271089
150	C150	116.7665177	-26.82374226
151	C151	116.7613343	-26.82451061
152	C152	116.7612312	-26.82550191
153	C153	116.7686378	-26.82529022
154	C154	116.7605929	-26.82579734
155	C155	116.7650951	-26.82117971
156	C156	116.7653222	-26.8280368
157	C157	116.7627565	-26.82784591
158	C158	116.764037	-26.82792142
159	C159	116.7683599	-26.82601356
160	C160	116.7609995	-26.82640912
161	C161	116.7640259	-26.82096612
162	C162	116.7618694	-26.8227134
163	C163	116.7676604	-26.82675263
164	C164	116.7665496	-26.82770799
165	C165	116.7686127	-26.82458774
166	C166	116.7653518	-26.82141498
167	C167	116.7659312	-26.82734683
168	C168	116.7610827	-26.82372739
169	C169	116.7677769	-26.82592112
170	C170	116.7609614	-26.82337974
171	C171	116.7661936	-26.82755908
172	C172	116.7658204	-26.82776267
173	C173	116.7645573	-26.82851292
