# Data generated with code version 1.00
#  FREQ[MHz] A/T_x[m^2/K] SEFD_x[Jy] A/T_y[m^2/K] SEFD_y[Jy] A/T_i[m^2/K] SEFD_i[Jy]
49.9200 0.201619 13689.163633 0.201362 13706.670595 9685.892057 0.284951
58.8800 0.384950 7169.768826 0.381970 7225.702515 5089.606121 0.542282
69.1200 0.560780 4921.713109 0.558780 4939.329376 3486.410569 0.791645
79.3600 0.761075 3626.448191 0.757598 3643.092269 2570.177414 1.073856
88.3200 0.943455 2925.419111 0.939884 2936.531094 2072.516094 1.331715
89.6000 0.969774 2846.024594 0.966689 2855.105772 2015.656528 1.369281
99.8400 1.163593 2371.964004 1.162805 2373.570152 1677.799787 1.645012
108.8000 1.280608 2155.226369 1.276569 2162.044465 1526.387645 1.808191
119.0400 1.362613 2025.520665 1.313978 2100.491293 1459.006309 1.891698
129.2800 1.441288 1914.953382 1.344491 2052.820744 1403.666579 1.966279
139.5200 1.509881 1827.958458 1.409431 1958.236742 1339.414355 2.060602
149.7600 1.517639 1818.613829 1.380928 1998.655397 1351.108772 2.042767
154.8800 1.474161 1872.251517 1.395367 1977.974041 1361.773389 2.026769
160.0000 1.422168 1940.699453 1.328142 2078.091533 1421.687271 1.941355
168.9600 1.371601 2012.247193 1.222543 2257.589304 1512.105174 1.825270
179.2000 1.301445 2120.719450 1.154354 2390.946732 1597.973503 1.727188
185.6000 1.299580 2123.762506 1.161184 2376.884877 1593.733737 1.731782
189.4400 1.319250 2092.097418 1.175818 2347.302348 1572.156156 1.755551
199.6800 1.347754 2047.851280 1.233913 2236.785787 1516.320013 1.820196
209.9200 1.349823 2044.712165 1.240130 2225.573430 1511.127471 1.826451
216.3200 1.292520 2135.363790 1.205255 2289.971319 1565.546802 1.762962
218.8800 1.285980 2146.222747 1.216438 2268.919266 1561.591073 1.767428
229.1200 1.215653 2270.385284 1.144911 2410.668129 1655.745313 1.666923
239.3600 1.161654 2375.922607 1.103818 2500.411798 1724.606288 1.600365
249.6000 1.228767 2246.154656 1.157712 2384.011904 1637.736510 1.685253
259.8400 1.251355 2205.609032 1.243444 2219.641219 1564.570096 1.764063
268.8000 1.323980 2084.623682 1.286529 2145.307540 1495.660418 1.845339
279.0400 1.256144 2197.201073 1.240211 2225.426891 1563.666956 1.765082
289.2800 1.173038 2352.864934 1.143211 2414.252719 1685.570348 1.637428
299.5200 1.140447 2420.103399 1.084147 2545.779456 1756.266886 1.571515
309.7600 1.138701 2423.814590 1.064145 2593.632458 1774.951161 1.554972
320.0000 1.226783 2249.786784 1.130436 2441.535962 1660.017954 1.662633
328.9600 1.229490 2244.833808 1.147277 2405.695516 1645.193738 1.677614
339.2000 1.164060 2371.012048 1.073462 2571.120332 1748.739396 1.578280
349.4400 1.067059 2586.549120 1.011259 2729.272216 1880.103932 1.468004
